idx,key,name,type,property,damage_count,script,skill_desc,effect_desc,animation,cost,damage_min,damage_max,imp_1_cost,imp_1_min,imp_1_max,imp_2_cost,imp_2_min,imp_2_max,imp_3_cost,imp_3_min,imp_3_max,sale,eng_name,enemy_skill,skill_tier
12,3,전진,Attack,Penetrate,2,Forward,한 발자국 앞으로 나아갑니다.,다음 턴에 받는 피해량 50% 증가 act 3 회복,atk_2,1,4,8,1,5,9,1,6,12,1,7,14,450,Forward,FALSE,3
13,1,세로베기,Attack,Slash,1,LengthCut,상대를 세로로 크게 한 번 베어냅니다.,이번 전투 페이즈에서 주는 피해량 15% 증가,atk_1,2,2,3,2,4,4,2,4,5,1,5,7,100,LengthCut,FALSE,3
14,1,가로베기,Attack,Slash,1,WidthCut,상대를 가로로 크게 한 번 베어냅니다.,[[이전] '세로베기' 사용시] 피해량 30% 증가,atk_1,1,6,9,1,8,9,1,8,10,1,9,12,300,WidthCut,FALSE,3
15,1,사선베기,Attack,Slash,2,CrossCut,상대를 교차로 빠르게 두 번 베어냅니다.,[[대상] 방어 사용] 다음 턴에 대상이 사용하는 방어 스킬의 피해량 90% 감소,atk_2,1,2,3,1,2,3,1,4,5,1,5,7,100,CrossCut,FALSE,2
16,2,일도양단,Attack,Slash,1,,상대에게 강력한 일격을 날립니다.,,atk_1,5,3,20,5,5,30,5,8,35,5,10,40,600,OneSwordTwoCut,FALSE,4
17,1,호흡,Defence,Defense,1,Breath,숨을 크게 들이쉬고 평정심을 되찾습니다.,[[대상] 공격 사용] act 3을 획득,Guard,2,9,12,2,11,12,2,11,13,2,12,15,200,Breath,FALSE,2
18,2,지혈,Defence,Defense,1,FirstAid,상처 부위를 압박해 출혈을 임시적으로 멈춥니다.,[[대상] 방어 사용] 현재 체력의 5%만큼 회복,Guard,2,7,11,2,9,11,1,9,12,1,10,14,200,FirstAid,FALSE,1
19,3,투지,Defence,Defense,1,FightingSpirit,쓰러지지 않기 위해 마음을 가다듬습니다.,현재 저항력의 10%만큼 회복,Guard,2,7,11,2,9,11,1,9,12,1,10,14,200,FightingSpirit,FALSE,2
20,1,약점 간파,Attack,Penetrate,3,Inkling,상대의 약점을 간파합니다.,[[대상] 방어 사용] 상대 저항력에 10 피해,atk_3,1,3,3,1,3,3,1,4,5,1,5,7,75,Inkling,FALSE,3
21,2,급소 찌르기,Attack,Penetrate,1,VitalPoint,상대의 영 좋지 않은 부위를 공격합니다.,[[대상] 저항 25% 이하] 상대 저항력에 50 피해,atk_1,3,12,17,3,13,17,3,13,18,2,14,20,300,VitalPoint,FALSE,4
22,3,할복,Attack,Penetrate,1,Hara_Kiri,나에게 피해를 주며 상대에게 치명적인 일격을 날립니다.,최대 체력의 (이 스킬의 최대 피해량 x 2)%만큼 체력 감소,atk_1,0,12,20,0,15,25,0,20,30,0,25,30,600, Hara-Kiri,FALSE,4
23,2,분쇄,Attack,Hit,4,Crushing,상대의 방어 태세를 완전히 무너뜨립니다.,[[대상] 방어 사용] 상대 체력에 5 피해,atk_4,1,3,6,1,4,6,1,4,7,1,6,8,50,Crushing,FALSE,2
24,2,부딪힘,Attack,Hit,1,Bump,상대와 나의 검신을 맞부딪힙니다.,[저항 50% 이하] 현재 저항력의 20%만큼 저항력 회복,atk_1,1,3,6,1,4,6,1,4,7,1,6,8,50,Bump,FALSE,2
25,3,압박감,Attack,Hit,1,Pressure,자기 자신을 몰아붙이며 압박합니다.,다음 턴에 스킬 효과로 act 회복 불가,atk_1,0,3,6,0,4,6,0,4,7,0,5,7,200,Pressure,FALSE,1
26,3,긴장감,Attack,Slash,1,Tension,방심하지 않기 위해 근육을 긴장시킵니다.,다음 턴에 받는 피해량 1 감소 & 현재 체력의 5%만큼 체력 감소,atk_1,1,4,8,1,6,8,1,6,9,1,7,11,200,Tension,FALSE,1
27,3,신체 안정,Attack,Penetrate,1,Stability,빠른 회복을 위해 근육을 이완합니다.,다음 턴에 받는 피해량 2 증가 & 현재 체력 10%만큼 체력 회복,atk_1,1,4,8,1,6,8,1,6,9,1,7,11,200,Breath,FALSE,1
28,1,전심전력,Attack,Slash,3,,온 몸의 힘을 집중시켜 상대를 베어냅니다.,,atk_3,10,30,60,10,40,60,10,40,70,10,50,80,500,WholeHeart,FALSE,1
29,2,일격필살,Attack,Penetrate,3,,온 몸의 힘을 집중시켜 상대의 신체를 꿰뚫습니다.,,atk_3,10,30,60,10,40,60,10,40,70,10,50,80,500,LethalMove,FALSE,1
30,3,최후의 일격,Attack,Hit,3,,온 몸의 힘을 집중시켜 상대에게 큰 피해를 줍니다.,,atk_3,10,30,60,10,40,60,10,40,70,10,50,80,500,FinalBlow,FALSE,1
31,1,부동 자세,Defence,Defense,1,Stab,어떠한 공격을 받더라도 자세를 유지합니다.,다음에 사용하는 스킬 3개의 피해량 10% 증가,Guard,2,13,17,3,15,17,3,15,18,3,16,20,125,Immovable,FALSE,2
32,2,유연함,Defence,Defense,1,,검의 흐름을 유연하게 하여 신체의 부담을 줄입니다.,,Guard,2,8,12,2,10,12,1,10,13,1,11,15,125,Flexibility,FALSE,1
33,3,집중,Defence,Defense,1,Cut,상대의 검에 시야를 집중합니다.,act 1를 획득,Guard,1,5,9,1,7,9,1,7,10,1,8,12,125,Focus,FALSE,2
34,1,숨고르기,Defence,Defense,1,Respiration,잠시 행동을 멈추고 침착함을 유지합니다.,다음 스킬의 피해량 100% 증가,Guard,3,13,17,3,15,17,3,15,18,3,16,20,125,Respiration,TRUE,4
35,3,섬,Chain,Chain,1,,날카로운 검격,,Guard,2,8,8,2,12,12,2,15,15,2,20,20,125,Sum,FALSE,4
36,3,창,Chain,Chain,1,Chang,푸르른 기운이,[[체인] 2 이하] act 3 회복,Guard,1,8,8,1,10,10,1,12,12,1,15,15,125,Chang,FALSE,4
37,1,혈,Chain,Chain,1,Bleed,흐르는 선혈이,[[체인] 3 이상] 다음 2턴 동안 '상처' 부여,Guard,2,3,3,2,8,8,2,14,14,2,18,18,125,Bleed,TRUE,4
38,1,산,Chain,Chain,1,Scatter,흩어지고,[[체인] 3 이상] 다음 2턴 동안 참격 피해량 10% 증가,Guard,2,10,10,2,20,20,2,30,30,2,40,40,125,Scatter,TRUE,4
39,2,시,Chain,Chain,1,DeadBody,적의 살갗은,[[체인] 3 이상] 상대 저항력에 25 피해,Guard,2,15,15,2,20,20,2,30,30,2,40,40,125,DeadBody,TRUE,4
40,2,해,Chain,Chain,1,Sea,바다를 이루리,[[체인] 4 이상] 다음 스킬의 피해량 25% 증가,Guard,2,6,6,2,12,12,2,18,18,2,25,25,125,Sea,TRUE,4
41,1,발도,Attack,Slash,1,BattoOjutz_Enemy,검을 뽑아 전투를 준비합니다.,[[대상] 방어 사용] 상대 저항력에 999 피해,atk_1,1,14,24,0,14,24,0,14,24,0,14,24,125,BattoOjutz_Enemy,TRUE,4
42,1,발검,Attack,Slash,1,BattoOjutz,검을 뽑아 전투를 준비합니다.,[[대상] 방어 사용] 상대 저항력에 20 피해 & act 1를 획득,atk_1,1,4,8,0,6,8,0,6,9,0,7,11,500,BattoOjutz,FALSE,4
43,1,속검,Attack,Slash,2,HyperSpeed,엄청난 속도로 상대를 두 번 베어냅니다.,[[대상] 공격 사용] 상대 체력에 30 피해,atk_2,1,10,15,0,6,8,0,6,9,0,7,11,125,HyperSpeed,TRUE,4
44,2,일섬,Attack,Slash,1,OneCut,상대를 깔끔하게 한 번 베어냅니다.,[[대상] 참격 외 사용] 현재 저항력의 10%만큼 저항력 회복,atk_1,1,5,7,0,6,8,0,6,9,0,7,11,125,OneCut,TRUE,4
45,2,각오,Defence,Defense,1,Determination,각오를 다잡고 상대의 검에 집중합니다.,최대 체력의 5%만큼 체력 회복 & [[대상] 참격 사용] 이 스킬의 최대 피해량만큼 자신의 체력 감소,Guard,1,18,20,0,6,8,0,6,9,0,7,11,125,Determination,TRUE,4
46,3,세로베기,Attack,Slash,1,LengthCut_Enemy,상대를 세로로 크게 한 번 베어냅니다.,[[대상] 참격 외 사용] 이번 페이즈에서 주는 피해량 50% 증가,atk_1,1,18,20,0,6,8,0,6,9,0,7,11,125,LengthCut_Enemy,TRUE,4
47,3,가로베기,Attack,Slash,1,WidthCut_Enemy,상대를 가로로 크게 한 번 베어냅니다.,[[대상] 참격 외 사용] 해당 스킬을 파괴,atk_1,1,18,20,0,6,8,0,6,9,0,7,11,125,WidthCut_Enemy,TRUE,4
48,3,평정,Defence,Defense,1,Equanimity_Enemy,평정심을 유지하며 모든 공격을 받아칩니다.,[[대상] 참격 외 사용] 최대 체력의 25%만큼 체력 회복,atk_2,1,10,20,0,6,8,0,6,9,0,7,11,125,Equanimity_Enemy,TRUE,4
49,3,평정심,Defence,Defense,1,Equanimity,평정심을 유지하며 모든 공격을 받아칩니다.,[[대상] 참격 사용] act 3 회복,atk_3,1,5,10,1,6,10,1,6,12,1,7,14,125,Equanimity,FALSE,4
